#SHIP_NAME	DEPARTURE_PLANET	DEPARTURE_TIME	DESTINATION_PLANET	ARRIVAL_TIME
SHIP1	YAVIN	0	CORELLIA	15
SHIP1	CORELLIA	22	ALDERAAN	28
SHIP1	ALDERAAN	32	BESPIN	40
SHIP1	BESPIN	44	HOTH	48
SHIP1	HOTH	52	CORELLIA	73
SHIP1	CORELLIA	77	DANTOOINE	89
SHIP1	DANTOOINE	93	ENDOR	114
SHIP1	ENDOR	118	SULLUST	137
SHIP1	SULLUST	141	YAVIN	158
SHIP1	YAVIN	162	TATOOINE	177
SHIP1	TATOOINE	181	HOTH	237
SHIP1	HOTH	241	GAMORR	587
#SHIP1	GAMORR	600	BESPIN	675

SHIP2	CORELLIA	0	CORULAG	1
SHIP2	CORULAG	5	CHANDRILA	6
SHIP2	CHANDRILA	10	ESSELES	13
SHIP2	ESSELES	17	RHINNAL	19
SHIP2	RHINNAL	23	RALLTIIR	24
SHIP2	RALLTIIR	28	CORUSCANT	40
SHIP2	CORUSCANT	44	BRENTAAL	51
SHIP2	BRENTAAL	55	CHANDRILA	56
SHIP2	CHANDRILA	60	CORELLIA	62
SHIP2	CORELLIA	66	CORULAG	67
SHIP2	CORULAG	71	CORUSCANT	77
SHIP2	CORUSCANT	81	RHINNAL	91
SHIP2	RHINNAL	95	ESSELES	97
SHIP2	ESSELES	104	RALLTIIR	108
SHIP2	RALLTIIR	112	CORELLIA	121
SHIP2	CORELLIA	125	CORUSCANT	129


SHIP3	CORUSCANT	0	YAGA MINOR	15
SHIP3	YAGA MINOR	19	WAYLAND	49
SHIP3	WAYLAND	53	MYRKR	74
SHIP3	MYRKR	78	KASHYYYK	133
SHIP3	KASHYYYK	137	CORELLIA	173
SHIP3	CORELLIA	180	KASHYYYK	216
SHIP3	KASHYYYK	220	MYRKR	275
SHIP3	MYRKR	280	WAYLAND	301
SHIP3	WAYLAND	305	CORUSCANT	363
SHIP3	CORUSCANT	370	YAGA MINOR	385
SHIP3	YAGA MINOR	390	CORELLIA	402

SHIP4	BAKURA	0	HAPES CLUSTER	11
SHIP4	HAPES CLUSTER	15	CORPORATE SECTOR	22
SHIP4	CORPORATE SECTOR	26	CORUSCANT	41
SHIP4	CORUSCANT	45	MON CALAMARI	58
SHIP4	MON CALAMARI	65	KESSEL	74
SHIP4	KESSEL	80	CORELLIA	90
SHIP4	CORELLIA	95	CORPORATE SECTOR	104
SHIP4	CORPORATE SECTOR	110	KESSEL	119
SHIP4	KESSEL	125	HAPES CLUSTER	137
SHIP4	HAPES CLUSTER	145	MON CALAMARI	163
SHIP4	MON CALAMARI	172	BAKURA	194
SHIP4	BAKURA	200	CORUSCANT	277

SHIP5	DANTOOINE	0	DAGOBAH	32
SHIP5	DAGOBAH	36	CORELLIA	67
SHIP5	CORELLIA	75	KASHYYYK	111
SHIP5	KASHYYYK	116	CORUSCANT	159
SHIP5	CORUSCANT	165	ALDERAAN	181
SHIP5	ALDERAAN	185	TATOOINE	192
SHIP5	TATOOINE	196	SULLUST	234
SHIP5	SULLUST	240	HOTH	262
SHIP5	HOTH	270	DANTOOINE	298

SHIP6	RALLTIIR	0	RHINNAL	1
SHIP6	RHINNAL	5	ESSELES	7
SHIP6	ESSELES	11	CORULAG	15
SHIP6	CORULAG	19	CHANDRILA	20
SHIP6	CHANDRILA	24	BRENTAAL	25
SHIP6	BRENTAAL	30	CORELLIA	33
SHIP6	CORELLIA	37	BRENTAAL	40
SHIP6	BRENTAAL	44	CHANDRILA	45
SHIP6	CHANDRILA	49	CORULAG	50
SHIP6	CORULAG	54	ESSELES	58
SHIP6	ESSELES	62	RHINNAL	64
SHIP6	RHINNAL	68	RALLTIIR	69
SHIP6	RALLTIIR	73	CORUSCANT	85

SHIP7	CORELLIA	0	BESPIN	6
SHIP7	BESPIN	10	CORELLIA	16
SHIP7	CORELLIA	20		CORUSCANT	24
SHIP7	CORUSCANT	28	ESSELES	36
SHIP7	ESSELES	40	CORELLIA	44
SHIP7	CORELLIA	48	KASHYYYK	84

SHIP8	GAMORR	0	TATOOINE	40
SHIP8	TATOOINE	44	CORELLIA	48
SHIP8	CORELLIA	52	ENDOR	69
SHIP8	ENDOR	73	DANTOOINE	94
SHIP8	DANTOOINE	98	CORELLIA	110
SHIP8	CORELLIA	114	BAKURA	166

SHIP9	DAGOBAH	0	CORELLIA	31
SHIP9	CORELLIA	35	HAPES CLUSTER	56
SHIP9	HAPES CLUSTER	60	CORELLIA	81
SHIP9	CORELLIA	85	TATOOINE	89
SHIP9	TATOOINE	93	GAMORR	133
SHIP9	GAMORR	137	YAVIN	192

SHIP10	CORELLIA	0	CORUSCANT	4
SHIP10	CORUSCANT	8	CORELLIA	12
SHIP10	CORELLIA	16	CORUSCANT	20
SHIP10	CORUSCANT	24	CORELLIA	28
SHIP10	CORELLIA	32	BESPIN	38
SHIP10	BESPIN	44	CORELLIA	50
SHIP10	CORELLIA	54	YAGA MINOR	66
SHIP10	YAGA MINOR	70	CORELLIA	82
SHIP10	CORELLIA	86	DAGOBAH	117
